[225.8734,226.7733]
[227.4713,227.9597]
[228.2328,228.2876]
[228.1234,227.7421]
[227.1481,226.3480]
[225.3509,224.1682]
[222.8132,221.3012]
[219.6494,217.8766]
[216.0028,214.0492]
[212.0380,209.9919]
[207.9342,205.8882]
[203.8769,201.9234]
[200.0495,198.2767]
[196.6249,195.1130]
[193.7580,192.5752]
[191.5781,190.7781]
[190.1840,189.8027]
[189.6386,189.6933]
[189.9664,190.4548]
[191.1529,192.0527]
[193.1442,194.4149]
[195.8504,197.4345]
[199.1492,200.9751]
[202.8915,204.8768]
[206.9083,208.9631]
[1189.9345,224.2241,18.1350]
[1208.0696,1207.9669]
[1207.6598,1207.1519]
[1206.4489,1205.5589]
[1204.4918,1203.2597]
[1201.8767,1200.3583]
[1198.7219,1196.9859]
[1195.1700,1193.2948]
[1191.3815,1189.4518]
[1187.5276,1185.6306]
[1183.7824,1182.0040]
[1180.3153,1178.7357]
[1177.2830,1175.9736]
[1174.8224,1173.8424]
[1173.0447,1172.4384]
[1172.0304,1171.8252]
[1171.8252,1172.0304]
[1172.4384,1173.0447]
[1173.8424,1174.8224]
[1175.9736,1177.2830]
[1178.7357,1180.3153]
[1182.0040,1183.7824]
[1185.6306,1187.5276]
[1189.4518,1191.3815]
[1193.2948,1195.1700]
[1196.9859,1198.7219]
[1200.3583,1201.8767]
[1203.2597,1204.4918]
[1205.5589,1206.4489]
[1207.1519,1207.6598]
[1207.9669,1208.0696]
[224.2241,226.1517]
[228.0575,229.9198]
[231.7177,233.4306]
[235.0392,236.5253]
[237.8720,239.0640]
[240.0879,240.9321]
[241.5869,242.0451]
[242.3013,242.3527]
[242.1987,241.8410]
[241.2837,240.5331]
[239.5978,238.4882]
[237.2170,235.7986]
[234.2491,232.5860]
[230.8281,228.9954]
[227.1087,225.1892]
[223.2589,221.3394]
[219.4527,217.6200]
[215.8621,214.1990]
[212.6495,211.2311]
[209.9599,208.8504]
[207.9150,207.1644]
[206.6071,206.2495]
[206.0954,206.1468]
[206.4030,206.8612]
[207.5160,208.3602]
[209.3841,210.5761]
[211.9228,213.4089]
[215.0175,216.7304]
[218.5283,220.3906]
[222.2964,224.2241]
[698.8957,610.3587,18.4750]
[717.3708,717.2661]
[716.9533,716.4359]
[715.7197,714.8130]
[713.7259,712.4707]
[711.0618,709.5150]
[707.8478,706.0793]
[704.2293,702.3190]
[700.3698,698.4039]
[696.4436,694.5111]
[692.6283,690.8165]
[689.0962,687.4870]
[686.0070,684.6730]
[683.5003,682.5019]
[681.6893,681.0716]
[680.6559,680.4469]
[680.4469,680.6559]
